اللقب,الاسم,اللقب_بالفرنسية,الاسم_بالفرنسية,تاريخ_الميلاد,الجنس,الهاتف,هاتف_ثانوي,العنوان,اسم_ولي_الأمر,صلة_القرابة,هاتف_ولي_الأمر,الفوج
بن عمار,يوسف,Benammar,Youssef,2008-04-15,ذكر,0550123456,0661234567,الجزائر العاصمة - باب الزوار,عمار بن عمار,الأب,0551234567,1AS-Sciences-G1
منصوري,أمينة,Mansouri,Amina,2009-09-21,أنثى,0660987654,0550987654,وهران - حي النخيل,بلقاسم منصوري,الأب,0661987654,4AM-Groupe-2
براهيمي,مهدي,Brahimi,Mehdi,2007-11-03,ذكر,0770334455,0550334455,قسنطينة - سيدي مبروك,كمال براهيمي,الأب,0771334455,2AS-Math-G1
زروقي,فاطمة الزهراء,Zerrouki,Fatima Zohra,2010-02-18,أنثى,0540112233,0660112233,سطيف - حي الهضاب,سمية زروقي,الأم,0541112233,3AM-Groupe-1
خلوفي,عبد الرحمن,Khelloufi,Abderrahmane,2008-06-30,ذكر,0655443322,0775443322,باتنة - الممرات,جمال خلوفي,الأب,0656443322,1AS-Sciences-G2
حمادي,مريم,Hammadi,Meriem,2011-08-12,أنثى,0790887766,0550887766,عنابة - واد فرشة,فوزي حمادي,الأب,0791887766,2AM-Groupe-1
مزيان,أنس,Meziane,Anes,2009-12-05,ذكر,0560778899,0660778899,تيزي وزو - المدينة الجديدة,رابح مزيان,الأب,0561778899,4AM-Groupe-1
قادري,سارة,Kadri,Sara,2007-03-25,أنثى,0671223344,0771223344,تلمسان - إمامة,نادية قادري,الأم,0672223344,3AS-Gestion-G1
بن سالم,وليد,Bensalem,Walid,2008-10-14,ذكر,0780556677,0550556677,البليدة - بوعرفة,إبراهيم بن سالم,الأب,0781556677,1AS-Sciences-G1
بلقاسم,إيناس,Belkacem,Ines,2010-07-09,أنثى,0555667788,0665667788,بجاية - طارق بن زياد,حكيم بلقاسم,الأب,0556667788,3AM-Groupe-2
